SCHOOLID,Lat,Long,policy_implementation
400009,41.8075785077,-87.7400974358,NA
400010,41.79612151,-87.6258490371,NA
400011,41.877248,-87.705235,NA
400013,41.937298,-87.727096,NA
400017,41.966405668,-87.7218246652,NA
400021,41.8822947837,-87.7653213752,NA
400023,41.743179,-87.587928,NA
400024,41.7940154237,-87.6702422406,NA
400025,41.9224139084,-87.6813946958,NA
400026,41.7202458543,-87.65759768,NA
400027,41.950891,-87.710492,NA
400028,41.684433,-87.616888,NA
400029,41.7836163451,-87.6221051133,NA
400030,41.9216867615,-87.7767852699,NA
400031,41.745365,-87.692614,NA
400032,41.748382,-87.66898,NA
400033,41.721221,-87.655768,NA
400034,41.9902175745,-87.7265036635,NA
400035,42.013031,-87.674818,NA
400036,41.88055,-87.649772,NA
400039,41.9067706354,-87.6943644455,NA
400040,41.8620768641,-87.7176419763,NA
400043,41.8833345926,-87.6680761082,NA
400044,41.858369744,-87.7210706465,NA
400045,41.69801305,-87.6310575134,NA
400046,41.8672727143,-87.7106794802,NA
400047,41.8778606316,-87.6987387202,NA
400048,41.874687,-87.686568,NA
400049,41.856859,-87.730348,NA
400050,41.8256990471,-87.6677607184,NA
400051,41.900190521,-87.6626277817,NA
400052,41.7640829933,-87.6019735726,NA
400053,41.8952547584,-87.6644822349,NA
400054,41.915214,-87.730127,NA
400055,41.892425,-87.660859,NA
400056,41.895362,-87.718047,NA
400057,41.8658167128,-87.6761476293,NA
400058,41.8585191308,-87.7079522423,NA
400059,41.8641432818,-87.7020776088,NA
400060,41.983371,-87.67116,NA
400061,41.7459346284,-87.652328137,NA
400062,41.7459346284,-87.652328137,NA
400064,41.8559760522,-87.628510989,NA
400066,41.8277834131,-87.6248244058,NA
400068,41.87276,-87.763337,NA
400069,41.89255,-87.707796,NA
400071,41.7753667505,-87.6640324796,NA
400075,41.827726,-87.608501,NA
400076,41.811182867,-87.5987862682,NA
400077,41.7781185054,-87.5980804453,NA
400078,41.813547,-87.608426,NA
400079,41.8078400696,-87.7303591387,NA
400080,41.8078400696,-87.7303591387,NA
400081,41.859504,-87.667949,NA
400082,41.9374757759,-87.6995936514,NA
400083,41.850035,-87.692551,NA
400084,41.7999296462,-87.6938983024,NA
400085,41.8078400696,-87.7303591387,NA
400086,41.7814978166,-87.6343566919,NA
400087,41.8445432742,-87.6187604879,NA
400089,41.8082813887,-87.6973933329,NA
400091,41.863301,-87.659095,NA
400092,41.653663,-87.605039,NA
400094,41.7448481839,-87.5502589916,NA
400096,41.907797,-87.664072,NA
400097,41.8787813727,-87.6781944858,NA
400098,41.8820856512,-87.6277411123,NA
400101,41.822856316,-87.693994895,NA
400102,41.8625125845,-87.6601057199,NA
400104,41.8459653309,-87.6855472198,NA
400106,41.778369,-87.635117,NA
400107,41.7333296562,-87.544441817,NA
400111,41.7430943325,-87.6657204357,NA
400112,41.801042,-87.708797,NA
400113,41.9077967959,-87.6455614997,NA
400114,41.9003161974,-87.6898950625,NA
400115,41.7709914514,-87.6931119777,NA
400116,41.7673901132,-87.6676390084,NA
400117,41.7344416233,-87.6509867278,NA
400118,41.8693119931,-87.7105633261,NA
400119,41.8817327589,-87.7337783826,NA
400120,41.9179516798,-87.787830438,NA
400121,42.0164758821,-87.684405682,NA
400123,41.880447,-87.742539,NA
400124,41.841331,-87.625331,NA
400125,41.93791667,-87.7270766433,NA
400126,41.901572,-87.70686,NA
400127,41.8949489515,-87.7602207289,NA
400128,41.864943,-87.723662,NA
400129,41.773962,-87.61574,NA
400130,41.751377,-87.641731,NA
400131,41.9028496977,-87.6960060227,NA
400133,41.8118176351,-87.6319908756,NA
400134,41.8572078568,-87.6448879755,NA
400135,41.8546639314,-87.6954667067,NA
400136,41.712922,-87.592333,NA
400137,41.8096680575,-87.599339394,NA
400139,41.7462865703,-87.5784916699,NA
400141,41.9652948171,-87.6592392894,NA
400143,41.890803,-87.702053,NA
400144,41.90224,-87.74881,NA
400145,41.8320716351,-87.6267447823,NA
400146,41.891816,-87.746614,NA
400147,41.691953,-87.654248,NA
400150,41.7301309334,-87.6070165368,NA
609678,41.8730659236,-87.6276753229,NA
609679,41.920059,-87.761048,NA
609680,41.9015461528,-87.6344637265,NA
609691,41.9116462561,-87.7352368523,NA
609693,41.889977,-87.707332,NA
609694,41.7914364693,-87.7244699624,NA
609695,41.975067,-87.679484,NA
609708,41.939796136,-87.7542032882,NA
609718,41.789961,-87.78084,NA
609719,41.9547635347,-87.6689894456,NA
609720,41.9466445746,-87.6910126273,NA
609724,41.987567237,-87.7025193438,NA
609728,41.9648004456,-87.7148181422,NA
609729,41.9463432311,-87.7356352653,NA
609730,41.989028539,-87.6671361897,NA
609732,41.935633588,-87.783515233,NA
609733,42.0026869262,-87.6692289258,NA
609734,41.9829335474,-87.7915467726,NA
609737,41.973184448,-87.7134230173,NA
609738,41.9182675644,-87.6460460884,NA
609739,41.6881369364,-87.5375703003,NA
609741,41.780526,-87.718014,NA
609745,41.759852,-87.675947,NA
609748,41.842533,-87.695261,NA
609749,41.9813147789,-87.7087445726,NA
609750,41.8643649239,-87.6687589322,NA
609751,41.8136749838,-87.6039105378,NA
609753,41.6912207422,-87.7177696726,NA
609755,41.8786020833,-87.6642700572,NA
609756,41.80306,-87.722042,NA
609760,41.6562899518,-87.5906203849,NA
609764,41.8526666,-87.6637324461,NA
609766,41.9603631731,-87.7646999302,NA
609772,41.6987387999,-87.5329760418,NA
609773,41.9341255571,-87.6562654054,NA
609774,41.9298498527,-87.6464131369,NA
609777,41.8338264797,-87.6506520971,NA
609779,42.0101225916,-87.6844396323,NA
609782,41.945062,-87.681041,NA
609783,41.867832,-87.680418,NA
609786,41.7482465103,-87.5916904502,NA
609788,41.705131,-87.658074,NA
609789,41.9325105835,-87.7393883513,NA
609792,41.9582198394,-87.7021509622,NA
609794,41.9711409287,-87.7097007454,NA
609795,41.8678117615,-87.7704542243,NA
609796,41.9723932569,-87.7576018013,NA
609797,41.885321,-87.705855,NA
609798,41.958938,-87.73402,NA
609799,41.949529799,-87.6860182445,NA
609800,41.7104344977,-87.6174270739,NA
609803,41.9507530831,-87.6649670804,NA
609804,42.0034116077,-87.697462822,NA
609807,41.7534297568,-87.7087305665,NA
609809,41.9309654091,-87.6963309362,NA
